Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Seychelles,Domestic Private Expenditure on PHC as % PVTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,72,72,0,0
Seychelles,Domestic Private Expenditure on PHC as % PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,33,32,33,0,0
Seychelles,Expenditure on Immunization Programmes as % Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0
Seychelles,Domestic General Government Expenditure on Immunization Programmes as % of Domestic General Government Expenditure on Health (GGHE-D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,0,0
Seychelles,External sources of funding on Immunization Programmes as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,0,0,0
Seychelles,Expenditure on Infectious and Parasitic Diseases as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,20,19,0,0
Seychelles,Expenditure on HIV/AIDS and Sexually Transmitted Diseases (STDs) as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Seychelles,Expenditure on Malaria as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Expenditure on Neglected Tropical Diseases (NTDs) as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Seychelles,Expenditure on Reproductive Health as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,0,0
Seychelles,Expenditure on Maternal Conditions as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Seychelles,Expenditure on Perinatal Conditions as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Expenditure on Contraceptive Management (Family Planning) as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0
Seychelles,Expenditure on Nutritional Deficiencies as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Expenditure on Noncommunicable Diseases (NCDs) as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,47,47,47,0,0
Seychelles,Expenditure on Injuries as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,10,10,0,0
Seychelles,Expenditure on other and unspecified diseases/conditions (n.e.c.) as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,7,8,0,0
Seychelles,Domestic General Government Expenditure on Infectious and Parasitic Diseases as % of Domestic General Government Expenditure on Health (GGHE-D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,19,18,0,0
Seychelles,Domestic General Government Expenditure on HIV/AIDS and Sexually Transmitted Diseases (STDs) as % of Domestic General Government Expenditure on Health (GGHE-D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
Seychelles,Domestic General Government Expenditure on Malaria as % of Domestic General Government Expenditure on Health (GGHE-D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Domestic General Government Expenditure on Reproductive Health as % of Domestic General Government Expenditure on Health (GGHE-D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,20,20,0,0
Seychelles,Domestic General Government Expenditure on Contraceptive Management (Family Planning) as % of Domestic General Government Expenditure on Health (GGHE-D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0
Seychelles,Domestic General Government Expenditure on Nutritional Deficiencies as % of Domestic General Government Expenditure on Health (GGHE-D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Seychelles,Domestic General Government Expenditure on Noncommunicable Diseases (NCDs) as % of Domestic General Government Expenditure on Health (GGHE-D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,50,50,50,0,0
Seychelles,Domestic General Government Expenditure on Injuries as % of Domestic General Government Expenditure on Health (GGHE-D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,10,10,0,0
Seychelles,Domestic General Government Expenditure on other and unspecified diseases/conditions (n.e.c.) as % of Domestic General Government Expenditure on Health (GGHE-D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0
Seychelles,External sources of funding on Infectious and Parasitic Diseases as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,81,80,0,0,0
Seychelles,External sources of funding on HIV/AIDS and Sexually Transmitted Diseases (STDs) as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0
Seychelles,External sources of funding on Malaria as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,External sources of funding on Reproductive Health as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,4,0,0,0
Seychelles,External sources of funding on Perinatal Conditions as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,External sources of funding on Contraceptive Management (Family Planning) as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,External sources of funding on Nutritional Deficiencies as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,External sources of funding on Noncommunicable Diseases (NCDs) as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,13,13,0,0,0
Seychelles,External sources of funding on Injuries as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,2,0,0,0
Seychelles,External sources of funding on other and unspecified diseases/conditions (n.e.c.) as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Seychelles,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),0,55,47,56,45,40,39,44,42,27,32,35,36,39,38,33,31,36,34,36,34,50,40
Seychelles,Gross Domestic Product (GDP) per Capita in US$,0,"7,680","7,658","8,461","8,442","9,907","10,702","11,670","11,702","10,789","9,309","10,496","10,854","11,116","13,733","14,159","14,268","14,826","15,455","15,871","16,137","11,947","13,661"
Seychelles,Current health expenditure by revenues of health care financing schemes,Million NCU,162,183,166,194,226,236,247,267,331,408,527,562,783,680,812,824,985,"1,024","1,126","1,127","1,453","1,294"
Seychelles,Transfers from government domestic revenue (allocated to health purposes),Million NCU,133,137,139,158,176,183,193,211,220,275,364,380,584,513,563,595,681,748,826,826,"1,136",990
Seychelles,Internal transfers and grants,Million NCU,133,137,139,158,176,183,193,211,220,275,364,380,584,513,563,595,681,748,826,826,"1,136",990
Seychelles,Transfers by government on behalf of specific groups,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Subsidies,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Other transfers from government domestic revenue,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Transfers distributed by government from foreign origin,Million NCU,0,0,0,0,0,0,1,1,0,2,10,42,6,0,0,0,31,0,0,0,0,0
Seychelles,Social insurance contributions,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Social insurance contributions from employees,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Social insurance contributions from employers,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Social insurance contributions from self-employed,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Other social insurance contributions,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,"Compulsory prepayment (Other, and unspecified, than FS.3)",Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Voluntary prepayment,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,7,8,8,8,8
Seychelles,Other domestic revenues n.e.c.,Million NCU,29,45,26,34,45,51,52,55,110,131,151,141,186,142,245,226,258,263,288,289,304,296
Seychelles,Other revenues from households n.e.c.,Million NCU,29,45,26,34,45,51,52,55,110,130,126,141,160,137,243,226,249,252,277,278,294,284
Seychelles,Other revenues from corporations n.e.c.,Million NCU,0,0,0,0,0,0,0,0,0,1,26,0,26,5,0,0,8,10,11,11,10,11
Seychelles,Other revenues from NPISH n.e.c.,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Seychelles,Unspecified other domestic revenues (n.e.c.),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Seychelles,Direct foreign transfers,Million NCU,0,0,1,2,6,2,1,0,1,0,2,0,8,21,4,3,8,6,4,0,5,0
Seychelles,Unspecified revenues of health care financing schemes (n.e.c.),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0
Seychelles,Current health expenditure by financing schemes,Million NCU,162,183,166,194,226,236,247,267,331,408,527,562,783,680,812,824,985,"1,024","1,126","1,127","1,453","1,294"
Seychelles,Government schemes and compulsory contributory health care financing schemes,Million NCU,133,137,139,158,176,183,194,212,220,277,373,422,590,513,563,595,711,751,826,826,"1,136",990
Seychelles,Government schemes,Million NCU,133,137,139,158,176,183,194,212,220,277,373,422,590,513,563,595,711,751,826,826,"1,136",990
Seychelles,Compulsory contributory health insurance schemes,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Social health insurance schemes,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Compulsory private insurance schemes,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Unspecified compulsory contributory health insurance schemes (n.e.c.),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Compulsory Medical Saving Accounts (CMSA),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Voluntary health care payment schemes,Million NCU,0,0,1,2,6,2,1,0,1,1,28,0,33,26,6,3,24,21,23,23,23,20
Seychelles,Voluntary health insurance schemes,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,7,8,8,8,8
Seychelles,NPISH financing schemes (including development agencies),Million NCU,0,0,1,2,6,2,1,0,1,0,2,0,8,21,6,3,9,4,4,4,5,0
Seychelles,Enterprise financing schemes,Million NCU,0,0,0,0,0,0,0,0,0,1,26,0,26,5,0,0,8,10,11,11,10,11
Seychelles,Household out-of-pocket payments (OOPS),Million NCU,29,45,26,34,45,51,52,55,110,130,126,141,160,137,243,226,249,252,277,278,294,284
Seychelles,Rest of the world financing schemes (non-resident),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Unspecified financing schemes (n.e.c.),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Seychelles,Current health expenditure by Health Care Functions,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985,"1,024","1,126","1,127",0,0
Seychelles,Curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,564,626,625,0,0
Seychelles,Inpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,294,329,326,0,0
Seychelles,Outpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,244,268,270,0,0
Seychelles,General outpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,107,119,119,0,0
Seychelles,Dental outpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,30,30,0,0
Seychelles,Specialised outpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Seychelles,Unspecified outpatient curative care (n.e.c.),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,109,119,121,0,0
Seychelles,Unspecified curative care (n.e.c.),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,26,29,29,0,0
Seychelles,Rehabilitative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Seychelles,Long-term care (health),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Inpatient long-term care (health),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Ancillary services (non-specified by function),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,6,6,7,0,0
Seychelles,Medical goods (non-specified by function),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,65,70,72,0,0
Seychelles,Pharmaceuticals and Other medical durable goods,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,56,61,62,0,0
Seychelles,Therapeutic appliances and Other medical goods,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,10,10,0,0
Seychelles,Unspecified medical goods (n.e.c.),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Preventive care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,204,227,221,0,0
Seychelles,"Information, education and counseling (IEC) programmes",Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40,45,44,0,0
Seychelles,Immunization Programmes,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,50,48,0,0
Seychelles,Early disease detection programmes,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,32,32,0,0
Seychelles,Healthy condition monitoring programmes,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,26,25,0,0
Seychelles,Epidemiological surveillance and risk and disease control programmes,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,41,46,45,0,0
Seychelles,Preparing for disaster and emergency response programmes,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Seychelles,Unspecified preventive care (n.e.c.),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,25,28,27,0,0
Seychelles,"Governance, and health system and financing administration",Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,126,140,138,0,0
Seychelles,Governance and Health system administration,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,125,140,137,0,0
Seychelles,Administration of health financing,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,"Unspecified governance, and health system and financing administration (n.e.c.)",Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Other health care services not elsewhere classified (n.e.c.),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,56,66,0,0
Seychelles,Domestic general government health expenditure by Health Care Functions,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,748,826,826,0,0
Seychelles,Domestic General Government Expenditure on Curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,401,449,443,0,0
Seychelles,Domestic General Government Expenditure on Inpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,272,305,300,0,0
Seychelles,Domestic General Government Expenditure on Outpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,103,116,114,0,0
Seychelles,Domestic General Government Expenditure on General outpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,91,90,0,0
Seychelles,Domestic General Government Expenditure on Dental outpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,24,0,0
Seychelles,Domestic General Government Expenditure on Specialised outpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Seychelles,Domestic General Government Expenditure on Other curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,26,29,28,0,0
Seychelles,Domestic General Government Expenditure on Rehabilitative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Seychelles,Domestic General Government Expenditure on Ancillary services (non-specified by function),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0
Seychelles,Domestic General Government Expenditure on Preventive care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,197,220,217,0,0
Seychelles,"Domestic General Government Expenditure on Information, education and counseling (IEC) programmes",Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,45,44,0,0
Seychelles,Domestic General Government Expenditure on Immunization Programmes,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,49,48,0,0
Seychelles,Domestic General Government Expenditure on Early disease detection programmes,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,32,31,0,0
Seychelles,Domestic General Government Expenditure on Healthy condition monitoring programmes,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,25,25,0,0
Seychelles,Domestic General Government Expenditure on Epidemiological surveillance and risk and disease control programmes,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,43,43,0,0
Seychelles,Domestic General Government Expenditure on Preparing for disaster and emergency response programmes,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Domestic General Government Expenditure on Unspecified preventive care (n.e.c.),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,24,27,27,0,0
Seychelles,"Domestic General Government Expenditure on Governance, health system & financing administration",Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,124,140,137,0,0
Seychelles,Domestic General Government Expenditure on Governance and Health system administration,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,124,139,137,0,0
Seychelles,"Domestic General Government Expenditure on Unspecified governance, and health system and financing administration (n.e.c.)",Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Domestic General Government Expenditure on Other health care services (n.e.c.),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,16,28,0,0
Seychelles,External health expenditure by Health Care Functions,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6,4,0,0,0
Seychelles,External Expenditure on Curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,External Expenditure on Inpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,External Expenditure on Outpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,External Expenditure on General outpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,External Expenditure on Dental outpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,External Expenditure on Other curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,External Expenditure on Preventive care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,0,0,0
Seychelles,"External Expenditure on Information, education and counseling (IEC) programmes",Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
