Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
South Africa,Dental outpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,213","6,601","7,031","7,385",0,0
South Africa,Specialised outpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,130","20,333","21,664","22,906",0,0
South Africa,Unspecified outpatient curative care (n.e.c.),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,169","4,538","4,895","5,294",0,0
South Africa,Home-based curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,119,127,137,0,0
South Africa,Rehabilitative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,141","1,213","1,293","1,365",0,0
South Africa,Ancillary services (non-specified by function),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,316","23,701","25,263","27,026",0,0
South Africa,Medical goods (non-specified by function),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,935","37,119","39,543","41,588",0,0
South Africa,Pharmaceuticals and Other medical durable goods,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,621","36,785","39,187","41,214",0,0
South Africa,Unspecified medical goods (n.e.c.),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,Preventive care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"29,702","28,864","30,935","33,499",0,0
South Africa,"Information, education and counseling (IEC) programmes",Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665,502,547,587,0,0
South Africa,Immunization Programmes,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,766","1,881","2,006","2,191",0,0
South Africa,Early disease detection programmes,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,256,286,302,0,0
South Africa,Epidemiological surveillance and risk and disease control programmes,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,680","2,815","3,126","3,318",0,0
South Africa,Unspecified preventive care (n.e.c.),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,134","23,410","24,970","27,100",0,0
South Africa,"Governance, and health system and financing administration",Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"42,273","44,795","47,761","51,334",0,0
South Africa,Governance and Health system administration,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26,174","27,695","29,546","32,257",0,0
South Africa,Administration of health financing,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,098","17,100","18,214","19,077",0,0
South Africa,"Unspecified governance, and health system and financing administration (n.e.c.)",Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,Other health care services not elsewhere classified (n.e.c.),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,757","1,852","2,599","2,885",0,0
South Africa,Current health expenditure by Diseases and Conditions,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"325,392","356,008","384,553","405,093","432,606","462,801",0,0
South Africa,Infectious and Parasitic Diseases,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"37,810","50,751","58,066","58,043","62,111","67,485",0,0
South Africa,HIV/AIDS and Other Sexually Transmitted Diseases (STDs),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,718","35,826","41,673","40,740","43,655","47,512",0,0
South Africa,Tuberculosis (TB),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,648","4,648","4,847","5,014","5,356","5,842",0,0
South Africa,Malaria,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,116,124,135,0,0
South Africa,Neglected Tropical Diseases (NTDs),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,222,237,259,0,0
South Africa,Reproductive Health,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"31,758","37,982","42,285","44,805","47,762","51,031",0,0
South Africa,Maternal Conditions,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,650","26,569","30,059","31,796","33,896","36,141",0,0
South Africa,Perinatal Conditions,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,820","3,177","3,554","3,781","4,030","4,309",0,0
South Africa,Contraceptive Management (Family Planning),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,730","5,483","5,645","6,012","6,410","6,976",0,0
South Africa,Unspecified reproductive health conditions (n.e.c.),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,557","2,753","3,027","3,216","3,426","3,605",0,0
South Africa,Nutritional Deficiencies,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,745","7,584","9,422","10,035","10,702","11,676",0,0
South Africa,Noncommunicable Diseases (NCDs),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"165,359","181,638","204,961","217,924","232,223","246,795",0,0
South Africa,Injuries,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"31,038","36,011","40,365","42,955","45,790","49,283",0,0
South Africa,Less than five-year-old population (< 5-y),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26,051","27,641","29,500","31,745",0,0
South Africa,Domestic General Government Health Expenditure in the less than five-year-old population (< 5-y),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,278","19,470","20,764","22,675",0,0
South Africa,External sources of funding in the less than five-year-old population (< 5-y),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,90,100,106,0,0
South Africa,Domestic Private Expenditure in the less than five-year-old population (< 5-y),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,612","8,081","8,636","8,964",0,0
South Africa,Current health expenditure by health care providers,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"384,553","405,093","432,606","462,801",0,0
South Africa,Hospitals,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"176,131","185,538","198,140","211,970",0,0
South Africa,General hospitals,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"153,018","161,191","172,139","184,154",0,0
South Africa,Mental health hospitals,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,540","3,730","3,983","4,261",0,0
South Africa,Specialised hospitals (Other than mental health hospitals),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,394","15,163","16,193","17,323",0,0
South Africa,Residential long-term care facilities,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757,798,852,912,0,0
South Africa,Long-term nursing care facilities,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,525,560,600,0,0
South Africa,Mental health and substance abuse facilities,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,269,288,308,0,0
South Africa,Other residential long-term care facilities,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0
South Africa,Providers of ambulatory health care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"81,728","86,094","91,941","98,358",0,0
South Africa,Medical practices,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"29,846","31,440","33,576","35,919",0,0
South Africa,Other health care practitioners,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,830","6,141","6,558","7,016",0,0
South Africa,Ambulatory health care centres,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,716","36,570","39,054","41,780",0,0
South Africa,Providers of home health care services,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,70,75,80,0,0
South Africa,Providers of patient transportation and emergency rescue,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,528","5,823","6,218","6,652",0,0
South Africa,Medical and diagnostic laboratories,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,780","15,570","16,627","17,788",0,0
South Africa,Other providers of ancillary services,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784,826,882,944,0,0
South Africa,Retailers and Other providers of medical goods,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30,635","32,271","34,463","36,869",0,0
South Africa,Pharmacies,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30,432","32,058","34,235","36,624",0,0
South Africa,Retail sellers and Other suppliers of durable medical goods and medical appliances,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,186,199,212,0,0
South Africa,Providers of preventive care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,183","7,566","8,080","8,644",0,0
South Africa,Providers of health care system administration and financing,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"47,946","50,507","53,937","57,702",0,0
South Africa,Government health administration agencies,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"29,472","31,046","33,154","35,468",0,0
South Africa,Private health insurance administration agencies,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,951","16,803","17,945","19,197",0,0
South Africa,Other administration agencies,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,523","2,658","2,838","3,036",0,0
South Africa,Rest of economy,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,243","11,844","12,648","13,531",0,0
South Africa,All Other industries as secondary providers of health care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,243","11,844","12,648","13,531",0,0
South Africa,Unspecified health care providers (n.e.c.),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,837","8,256","8,816","9,432",0,0
South Africa,Capital health expenditure,Million NCU,"1,119","1,095","1,622","1,564","2,349","2,611","3,702","4,565","5,062","5,774","6,524","6,575","7,898","7,374","7,603","9,913","9,422",0,0,0,0,0
South Africa,Capital Health Expenditure (Domestic Public),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,372","7,566","9,870","9,394",0,0,0,0,0
South Africa,Capital Health Expenditure (External),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,43,28,0,0,0,0,0
South Africa,Gross Domestic Product (GDP),Million NCU,"1,053,138","1,165,941","1,360,679","1,490,399","1,652,433","1,837,000","2,057,594","2,346,651","2,611,631","2,794,229","3,055,613","3,327,047","3,566,385","3,868,631","4,133,873","4,420,793","4,759,555","5,078,191","5,348,610","5,613,665","5,556,916","6,192,497"
South Africa,Final consumption expenditure of Households and profit institutions serving households (PFC),Million NCU,"691,110","761,515","852,896","922,602","1,052,105","1,168,207","1,307,912","1,489,372","1,646,301","1,732,563","1,905,709","2,093,803","2,293,240","2,470,752","2,633,125","2,815,210","3,011,897","3,199,715","3,417,922","3,588,896","3,474,446","3,819,180"
South Africa,General government expenditure (GGE),Million NCU,"238,498","263,738","302,252","337,111","375,229","461,829","507,539","573,253","679,247","795,166","864,157","933,613","1,020,652","1,118,424","1,212,095","1,333,492","1,423,515","1,516,346","1,617,124","1,765,967","1,925,042","2,023,277"
South Africa,Population (in thousands),0,"46,813","47,230","47,662","48,104","48,556","49,017","49,492","49,996","50,566","51,171","51,785","52,443","53,145","53,874","54,730","55,877","56,422","56,641","57,340","58,087","58,802","59,392"
